Region,Category,Headline,Summary,URL
Africa,Politics,Protesters denounce Togo leader’s new role as an attempt at indefinite rule,Protesters in Togo are speaking out against constitutional changes that could keep Faure Gnassingbe in power,https://www.aljazeera.com/program/newsfeed/
Africa,Politics,Rwanda confirms talks with US over receiving deported migrants,Foreign Minister Olivier Nduhungirehe says the ‘ongoing’ discussions are ‘still in the early stages’.,https://www.aljazeera.com/news/2025/5/5/rwanda-confirms-talks-with-us-over-receiving-deported-migrants
Africa,Uncategorized,MSF hospital bombing kills seven people in South Sudan,At least seven people were killed and 20 injured after a Doctors Without Borders hospital was bombed in South Sudan,https://www.aljazeera.com/program/newsfeed/
Africa,Politics,Week in Pictures: From drone strikes in Ukraine to Australian elections,A roundup of some of last week’s events.,https://www.aljazeera.com/gallery/2025/5/4/week-in-pictures-from-drone-strikes-in-ukraine-to-australian-elections
Africa,Uncategorized,At least seven killed in South Sudan hospital bombing: MSF,The UN has warned in recent weeks that the country is on the brink of a new civil war.,https://www.aljazeera.com/news/2025/5/3/at-least-seven-killed-in-south-sudan-hospital-bombing-msf
Africa,Politics,Gabon swears in ex-military chief Oligui as president,"The former general, who led coup that ended Bongo family’s 55-year rule, swept the elections last month.",https://www.aljazeera.com/news/2025/5/3/gabon-swears-in-ex-military-chief-oligui-as-president
Africa,Uncategorized,The Ethiopian bookbinder connecting a city’s people with its forgotten past,"For three decades, Abdallah Ali Sherif has been on a mission to explore Harar’s once-repressed cultural identity.",https://www.aljazeera.com/features/2025/5/3/the-ethiopian-bookbinder-connecting-a-citys-people-with-its-forgotten-past
Africa,Politics,"Former Tunisian PM handed 34-year sentence, rejects ‘terrorism’ charges",Former Prime Minister Ali Larayedh and the opposition Ennahdha party have denounced the trial as politically motivated.,https://www.aljazeera.com/news/2025/5/2/former-tunisian-pm-handed-34-year-sentence-rejects-terrorism-charges
Africa,Politics,Why does DRC want to end ex-President Kabila’s immunity for war crimes?,"The former leader is accused of allying with the rebel M23 group, active in the country’s east.",https://www.aljazeera.com/news/2025/5/2/why-does-drc-want-to-end-ex-president-kabilas-immunity-for-war-crimes
Africa,Politics,Uganda’s military chief says holding opposition activist ‘in my basement’,Opposition leader says Eddie Mutwe’s abduction ‘a reminder to the world’ of breakdown in law and order in Uganda.,https://www.aljazeera.com/news/2025/5/2/ugandas-military-chief-says-holding-opposition-activist-in-my-basement
Africa,Uncategorized,"Global health funding faces worst crisis ‘in memory’, WHO chief says",WHO Director General Tedros Adhanom Ghebreyesus says contributions have fallen sharply across the board.,https://www.aljazeera.com/news/2025/5/1/global-health-funding-faces-worst-crisis-in-memory-who-chief-says
Africa,Politics,DRC seeks to lift ex-President Kabila’s immunity over alleged war crimes,Joseph Kabila denies charges of treason and war crimes amid escalating tensions in volatile eastern provinces.,https://www.aljazeera.com/news/2025/5/1/drc-seeks-to-lift-ex-president-kabilas-immunity-over-alleged-war-crimes
Africa,Climate,Kenya’s pact of silence with its military is breaking,A BBC documentary on security forces killing protesters ignited a firestorm in Kenya – but not for what it revealed.,https://www.aljazeera.com/opinion/
Africa,Uncategorized,"Kenya MP’s killing appears ‘targeted and premeditated’, police say","Charles Ong’ondo Were had complained his life was in danger before attack, local reports say.",https://www.aljazeera.com/news/2025/5/1/kenya-mps-killing-appears-targeted-and-premeditated-police-say
Asia,Uncategorized,Photos: The last nomads of Nepal,The Raute face sharp population decline as they balance tradition and modern pressures.,https://www.aljazeera.com/gallery/2025/5/5/the-last-nomads-of-nepal
Asia,Politics,Will Pahalgam attack prolong detention of Kashmiri political prisoners?,Hopes that last year’s vote would lead to their release crushed since April 22 killings and crackdown by Indian forces.,https://www.aljazeera.com/news/2025/5/5/will-pahalgam-attack-prolong-detention-of-kashmiri-political-prisoners
Asia,Uncategorized,"The woman braving tigers, crocodiles and pirates in Bangladesh’s mangroves","In the forest where she lives, Mahfuza spends her days navigating rivers where danger lurks.",https://www.aljazeera.com/features/longform/2025/5/4/the-woman-braving-tigers-crocodiles-and-pirates-in-bangladeshs-mangroves
Asia,Uncategorized,The sound and fury of Indian media post-Kashmir,An attack in Kashmir challenges Modi’s ‘normalcy’ narrative.,https://www.aljazeera.com/program/the-listening-post/
Asia,Uncategorized,Pakistan test-fires ballistic missile as tensions with India rise,Pakistan test-fires surface-to-surface missile amid fears of military escalation with India over deadly Kashmir attack.,https://www.aljazeera.com/news/2025/5/3/pakistan-test-fires-ballistic-missile-as-tensions-with-india-rise
Asia,Politics,"Crowd crush at temple in India’s Goa kills 6, injures dozens","Tens of thousands of devotees throng narrow lanes leading to Hindu temple in the coastal state, causing a deadly crush.",https://www.aljazeera.com/news/2025/5/3/crowd-crush-at-temple-in-indias-goa-kills-6-injures-dozens
Asia,Uncategorized,"‘Don’t see a major war with India, but have to be ready’: Pakistan ex-NSA",Pakistan’s ex-NSA says lack of crisis mechanisms could spark conflict with India after deadly Kashmir attack.,https://www.aljazeera.com/news/2025/5/3/dont-see-a-major-war-with-india-but-have-to-be-ready-pakistan-ex-nsa
Asia,Uncategorized,‘Everyone lives in fear’: Voices of Kashmir after deadly Pahalgam attack,"As tensions soar between India and Pakistan, Kashmiris are caught between fear and uncertainty.",https://www.aljazeera.com/features/2025/5/2/everyone-lives-in-fear-voices-of-kashmir-after-deadly-pahalgam-attack
Asia,Uncategorized,Pahalgam attack: A simple guide to the Kashmir conflict,The roots of this decades-long conflict between India and Pakistan go back to the turbulent partition of 1947.,https://www.aljazeera.com/news/2025/5/2/pahalgam-attack-a-simple-guide-to-the-kashmir-conflict
Asia,Politics,Pakistan airspace ban could cost Air India $591m over 12 months,The airline has asked the Indian government for financial relief equivalent to its estimated losses.,https://www.aljazeera.com/economy/2025/5/1/pakistan-airspace-ban-could-cost-air-india-591m-over-12-months-report
Asia,Economy,The $10bn India-Pakistan trade secret hidden by official data,Informal trade between India and Pakistan is much higher than official figures say – but can it survive new hostilities?,https://www.aljazeera.com/news/2025/5/1/the-10bn-india-pakistan-trade-secret-hidden-by-official-data
Asia,Uncategorized,"Tunisia leader Saied’s opponents, supporters stage rival rallies",Riot police have been deployed in large numbers to separate the groups in Tunis.,https://www.aljazeera.com/news/2025/5/1/tunisia-leader-saieds-opponents-supporters-stage-rival-rallies
Asia,Politics,Rebuilding Bangladesh after Sheikh Hasina’s fall,101 East investigates the downfall of Bangladesh’s ruthless regime and goes inside the fight to reclaim democracy.,https://www.aljazeera.com/program/101-east/
Asia,Uncategorized,Photos: Workers observe May Day with marches and demonstrations,"The holiday, also known as International Workers’ Day or Labor Day, marks the struggles and achievements of workers.",https://www.aljazeera.com/gallery/2025/5/1/workers-observe-may-day-with-marches-and-demos-under-trump-tariffs-shadow
US & Canada,Politics,US bill to ban Israel boycotts faces right-wing backlash over free speech,Allies of Donald Trump voice opposition to bipartisan proposal that would expand a law that punishes boycotting Israel.,https://www.aljazeera.com/news/2025/5/5/us-bill-to-ban-israel-boycotts-faces-right-wing-backlash-over-free-speech
US & Canada,Economy,How are Chinese TikTokers fighting Trump’s trade war?,"After Trump announced tariffs, TikToks from China claiming to show factories making luxury brand goods went viral.",https://www.aljazeera.com/program/the-take-2/
US & Canada,Uncategorized,"US offers $1,000 stipend to migrants who self-deport","The stipend will cost less than an actual deportation, according to the Department of Homeland Security.",https://www.aljazeera.com/news/2025/5/5/us-offers-1000-stipend-to-migrants-who-self-deport
US & Canada,Politics,Fear and intimidation at Newark airport,The harassment I faced returning to the US as a Palestinian-American makes it clear the US government is afraid of me.,https://www.aljazeera.com/opinion/
US & Canada,Uncategorized,Have scientists solved the mystery of gold’s origin in the universe?,"A study gives clues to cosmic origin of gold and heavy elements, and they were created earlier than we thought.",https://www.aljazeera.com/news/2025/5/5/have-scientists-solved-the-mystery-of-golds-origin-in-the-universe
US & Canada,Politics,Rwanda confirms talks with US over receiving deported migrants,Foreign Minister Olivier Nduhungirehe says the ‘ongoing’ discussions are ‘still in the early stages’.,https://www.aljazeera.com/news/2025/5/5/rwanda-confirms-talks-with-us-over-receiving-deported-migrants
US & Canada,Politics,Video: Trump orders the re-opening of notorious Alcatraz prison,US President Donald Trump has ordered officials to re-open and expand the infamous Alcatraz prison.,https://www.aljazeera.com/program/newsfeed/
US & Canada,Uncategorized,Trump orders rebuilding and reopening of notorious Alcatraz prison,"Now an important tourist site, the California federal penitentiary has been shut for more than six decades.",https://www.aljazeera.com/news/2025/5/5/trump-orders-rebuilding-and-reopening-of-notorious-alcatraz-prison-in-us
US & Canada,Sports,"Pacers stun Cavs, Warriors shoot down Rockets to advance in NBA playoffs","Buddy Hield’s 33 points allowed Golden State to knock out Houston, while Indiana upset Cleveland in series opener.",https://www.aljazeera.com/sports/2025/5/5/hield-warriors-win-game-7-against-rockets-to-advance-in-nba-playoffs
US & Canada,Sports,Three in a row: Piastri wins in Miami to lead McLaren one-two,"McLaren driver Oscar Piastri won his fourth race of 2025, beating teammate Lando Norris in an action-packed Miami GP.",https://www.aljazeera.com/sports/2025/5/5/piastri-beats-norris-at-f1-miami-gp-to-extend-championship-lead
US & Canada,Politics,Trump says Mexico’s Sheinbaum refused US troop offer out of fear of cartels,US president makes claim after Mexican leader says her country’s sovereignty ‘not for sale.’,https://www.aljazeera.com/news/2025/5/5/trump-says-mexicos-sheinbaum-refused-us-troop-offer-out-of-fear-of-cartels
US & Canada,Politics,Rapid US transformation: Is Trump succeeding?,Republican and Democratic strategists assess Trump’s policy priorities from immigration to the economy.,https://www.aljazeera.com/program/the-bottom-line/
US & Canada,Politics,Trump says ‘I don’t know’ when asked if he backs US due process rights,US president makes comments in interview with NBC’s Meet the Press after being asked about deportation of immigrants.,https://www.aljazeera.com/news/2025/5/4/trump-says-i-dont-know-when-asked-if-he-backs-us-due-process-rights
US & Canada,Politics,AI-generated image of Trump as pope is the latest White House controversy,US President Donald Trump is facing backlash for publishing an AI-generated image of himself as the pope.,https://www.aljazeera.com/program/newsfeed/
Latin America,Uncategorized,Plane crash survivors rescued from alligator-infested swamp in Bolivia All,All five people on board a plane that crashed in a remote part of Bolivia’s Amazon rainforest have been found alive.,https://www.aljazeera.com/program/newsfeed/
Latin America,Sports,Brazil police arrest two suspects over Lady Gaga gig bomb plot,Police believe attackers targeted LGBTQ fans attending American star’s free concert on Rio’s Copacabana Beach.,https://www.aljazeera.com/news/2025/5/4/brazil-police-arrest-two-suspects-over-lady-gaga-gig-bomb-plot
Latin America,Politics,Brazil’s ex-President Bolsonaro discharged after three weeks in hospital,"Jair Bolsonaro, who lost his re-election bid in 2022, had major abdominal surgery last month.",https://www.aljazeera.com/news/2025/5/4/brazils-ex-president-bolsonaro-discharged-after-three-weeks-in-hospital
Latin America,Politics,Week in Pictures: From drone strikes in Ukraine to Australian elections,A roundup of some of last week’s events.,https://www.aljazeera.com/gallery/2025/5/4/week-in-pictures-from-drone-strikes-in-ukraine-to-australian-elections
Latin America,Uncategorized,Alvarez beats Scull to reclaim undisputed super-middleweight title,Alvarez sets up a showdown with ex-welterweight champ Terence Crawford after beating Scull by unanimous decision.,https://www.aljazeera.com/sports/2025/5/4/canelo-alvarez-beats-scull-to-reclaim-undisputed-super-middleweight-title
Latin America,Politics,Sheinbaum says she rejected Trump’s offer to send US troops to Mexico,Mexican president says she told Donald Trump that Mexico ‘will never accept the presence of US army in our territory’.,https://www.aljazeera.com/news/2025/5/3/sheinbaum-says-she-rejected-trumps-offer-to-send-us-troops-to-mexico
Latin America,Uncategorized,"Why is measles spreading in Canada, Mexico and the US?","The northern Americas are at “high” risk of measles compared with a “moderate” risk globally, according to the WHO.",https://www.aljazeera.com/news/2025/5/3/why-is-measles-spreading-in-canada-mexico-and-the-us
Latin America,Uncategorized,Trump administration designates two Haitian gangs as ‘terrorist groups’,The US has taken hard line against gangs in Haiti while reducing involvement in efforts to address violence there.,https://www.aljazeera.com/news/2025/5/2/trump-administration-designates-two-haitian-gangs-as-terrorist-groups
Latin America,Climate,Chile downgrades alert after magnitude 7.4 earthquake spurs tsunami fears,The warning had been for parts of southernmost Magallanes region after quake that also struck off Argentina’s coast.,https://www.aljazeera.com/news/2025/5/2/7-4-magnitude-earthquake-strikes-off-coasts-of-chile-argentina
Latin America,Sports,All to know about the Canelo Alvarez vs William Scull boxing showdown,"Al Jazeera’s lowdown on the boxers, the fight night and the belts on the line in the title-unifying bout in Riyadh.",https://www.aljazeera.com/sports/2025/5/1/canelo-alvarez-vs-william-scull-fight-start-time-undercard-stream-purse
Latin America,Climate,Can Mexico bring back the endangered axolotl?,"Pollution has cut the amphibian’s numbers by 99.5 percent, but scientists believe Mexico’s cultural icon could return.",https://www.aljazeera.com/news/2025/5/1/can-mexico-bring-back-the-endangered-axolotl
Latin America,Uncategorized,Haitians flee across country’s longest river to escape gang violence,Video shows dozens of Haitians trying to cross the country’s longest river to escape escalating gang violence after arme,https://www.aljazeera.com/program/newsfeed/
Latin America,Politics,US diplomat Marco Rubio will not provide info to judge about deported man,The Trump administration remains defiant despite a judge’s order to ‘facilitate’ return of Kilmar Abrego Garcia.,https://www.aljazeera.com/news/2025/4/30/us-diplomat-marco-rubio-will-not-provide-info-to-judge-about-deported-man
Latin America,Climate,"With song and seed, Brazil’s Indigenous Maxakali confront climate change","The Atlantic Forest used to blanket Maxakali territory. But as the forest disappears, the group faces intense heat.",https://www.aljazeera.com/news/longform/2025/4/30/with-song-and-seed-brazils-indigenous-maxakali-confront-climate-change
Europe,Politics,Trump hails ‘productive’ call with Turkiye’s Erdogan as visits planned,US President Donald Trump says he wants to work with his Turkish counterpart to end Russia’s war in Ukraine.,https://www.aljazeera.com/news/2025/5/5/erdogan-trump-phone-call-ukraine-russia-war-gaza-syria-us-turkiye-ties
Europe,Uncategorized,Top UN court dismisses Sudan’s genocide case against UAE,The International Court of Justice dismissed Sudan’s case accusing the UAE of enabling genocide in Darfur.,https://www.aljazeera.com/program/newsfeed/
Europe,Uncategorized,Gunmen kill three police officers in southern Russia’s Dagestan region,"Assailants open fire on police in Dagestan’s capital, Makhachkala, leaving several dead and injured.",https://www.aljazeera.com/news/2025/5/5/gunmen-kill-three-police-officers-in-southern-russias-dagestan-region
Europe,Politics,Fear and intimidation at Newark airport,The harassment I faced returning to the US as a Palestinian-American makes it clear the US government is afraid of me.,https://www.aljazeera.com/opinion/
Europe,Politics,‘Scientific asylum’: How Europe is luring US researchers amid Trump fears,The EU is expected to lure US researchers looking to relocate in the wake of Trump’s attacks on universities.,https://www.aljazeera.com/news/2025/5/5/scientific-asylum-how-europe-is-luring-us-researchers-amid-trump-fears
Europe,Sports,AfD sues over ‘extremist’ classification; Germany rejects US criticism,"‘We have learnt from our history that rightwing extremism needs to be stopped,’ Germany’s foreign ministry says.",https://www.aljazeera.com/news/2025/5/5/afd-sues-over-extremist-classification-germany-rejects-us-criticism
Europe,Sports,Champions League: All to know ahead of Barca-Inter semifinal decider,Inter Milan hosts LaLiga leaders Barcelona in the return leg of their UEFA Champions League semifinal.,https://www.aljazeera.com/sports/2025/5/5/inter-vs-barcelona-uefa-champions-league-start-time-team-news-lineups
Europe,Uncategorized,Alexander-Arnold confirms Liverpool exit amid Real Madrid rumours,"After a 20-year association with the famous English side, Alexander-Arnold will exit the club at the end of the season.",https://www.aljazeera.com/sports/2025/5/5/alexander-arnold-to-depart-liverpool-at-season-end-amid-real-madrid-link
Europe,Politics,Germany set for new government as mainstream parties sign coalition deal,New government must revive economy as Ukraine war and Trump complicate European security and trade.,https://www.aljazeera.com/news/2025/5/5/germany-set-for-new-government-as-mainstream-parties-sign-coalition-deal
Europe,Politics,Rwanda confirms talks with US over receiving deported migrants,Foreign Minister Olivier Nduhungirehe says the ‘ongoing’ discussions are ‘still in the early stages’.,https://www.aljazeera.com/news/2025/5/5/rwanda-confirms-talks-with-us-over-receiving-deported-migrants
Europe,Uncategorized,German police crack down on pro-Palestinian protesters in Berlin,Video shows German police clashing with pro-Palestinian protesters during Gaza solidarity rallies in Berlin,https://www.aljazeera.com/program/newsfeed/
Europe,Uncategorized,Skype shuts down on May 5: Ever wondered where the name came from?,"Skype, once a leading video-calling platform, is set to shut down on May 5. How well do you know its history?",https://www.aljazeera.com/news/2025/5/5/skype-shuts-down-on-may-5-ever-wondered-why-it-was-called-skype
Europe,Uncategorized,"Russia-Ukraine war: List of key events, day 1,166","These are the key events on day 1,166 of Russia’s war on Ukraine.",https://www.aljazeera.com/news/2025/5/5/russia-ukraine-war-list-of-key-events-day-1166
Europe,Uncategorized,Who are the main contenders to be the next pope?,Francis-era reforms that saw a diverse group of cardinals join the mix make his successor nearly impossible to call.,https://www.aljazeera.com/news/2025/5/5/who-are-the-main-contenders-to-be-the-next-pope
Middle East,Politics,Trump hails ‘productive’ call with Turkiye’s Erdogan as visits planned,US President Donald Trump says he wants to work with his Turkish counterpart to end Russia’s war in Ukraine.,https://www.aljazeera.com/news/2025/5/5/erdogan-trump-phone-call-ukraine-russia-war-gaza-syria-us-turkiye-ties
Middle East,Uncategorized,Top UN court dismisses Sudan’s genocide case against UAE,The International Court of Justice dismissed Sudan’s case accusing the UAE of enabling genocide in Darfur.,https://www.aljazeera.com/program/newsfeed/
Middle East,Politics,Fear and intimidation at Newark airport,The harassment I faced returning to the US as a Palestinian-American makes it clear the US government is afraid of me.,https://www.aljazeera.com/opinion/
Middle East,Uncategorized,Israel calls up thousands of reservists to expand Gaza war,Israel’s army is calling up tens of thousands of reservists to expand operations in Gaza.,https://www.aljazeera.com/program/newsfeed/
Middle East,Uncategorized,ICJ dismisses Sudan’s genocide case alleging UAE backing of RSF rebels,Top UN court says it does not have authority to rule on case accusing UAE of arming Rapid Support Forces paramilitary.,https://www.aljazeera.com/news/2025/5/5/icj-dismisses-sudans-genocide-case-alleging-uae-backing-of-rsf-rebels
Middle East,Uncategorized,How RSF is adopting Israel’s ‘template for genocide’ in Sudan,"For years, Israel has used human rights terminology to whitewash killing civilians, now the RSF is doing the same.",https://www.aljazeera.com/news/2025/5/5/how-rsf-is-adopting-israels-template-for-genocide-in-sudan
Middle East,Uncategorized,Attack on Tel Aviv airport shows Israeli air defence “failure”,“There was a belief that people living within Israel would be safe.”,https://www.aljazeera.com/video/2025/5/5/attack-on-tel-aviv-airport-shows-israeli-air-defence
Middle East,Politics,Israel is telling the world that “Gaza is not occupied”,"Law professor Neve Gordon on Gaza’s starvation under blockade, and why Israel is calling up 60,000 more reservists.",https://www.aljazeera.com/program/quotable/
Middle East,Sports,How do you keep going in Gaza when everything tells you to stop?,"I have experienced unimaginable pain of loss and injury, but I continue. I want to live.",https://www.aljazeera.com/opinion/
Middle East,Sports,Israeli soldiers blow up building in Gaza for ‘gender reveal’ party,"‘It’s a boy!’ Israeli soldiers have filmed themselves blowing up a building in Gaza for a ‘gender reveal’,",https://www.aljazeera.com/program/newsfeed/
Middle East,Uncategorized,Sara Netanyahu caught on mic saying ‘fewer’ captives alive than claimed,The families of Israeli captives in Gaza are infuriated after Sara Netanyahu said there were fewer alive than claimed.,https://www.aljazeera.com/program/newsfeed/
Middle East,Uncategorized,Netanyahu says Gaza population to be moved in intensive Israeli operation,"Remarks come as reports say Israel now eyeing occupation of Gaza, control of aid and possible expulsion of Palestinians.",https://www.aljazeera.com/news/2025/5/5/israel-plans-conquest-of-gaza-in-expanded-offensive
Middle East,Uncategorized,Video: Yemen’s Houthis vow to impose a ‘full aerial blockade’ on Israel,Yemen’s Houthi rebels vow to keep firing missiles at Ben Gurion airport to impose a ‘full aerial blockade’ on Israel.,https://www.aljazeera.com/program/newsfeed/
Middle East,Uncategorized,Israel launches air strikes on Yemen a day after Houthi airport attack,Israeli fighter jets strike targets in Yemen a day after Houthis attacked its main airport.,https://www.aljazeera.com/news/liveblog/2025/5/5/live-israeli-forces-kill-24-in-gaza-attack-rescuers-as-siege-continues
